URL,Title (50-60 chars),Meta Description (150-160 chars),Primary Keyword
/,"Sunbright Recovery Center | Faith-Based Rehab California","Faith-integrated, evidence-based addiction recovery in Northern California. Residential, outpatient & sober living. Medi-Cal accepted. Call 530-528-2342.",faith-based rehab california
/about,"About Sunbright Recovery Center | Northern California Rehab","Founded by Linda Spyres, LCSW, LAADC-CA with 20+ years in addiction treatment. Learn the story behind Sunbright Recovery Center in Red Bluff, CA.",sunbright recovery center
/programs,"Addiction Recovery Programs | Sunbright Recovery California","Residential rehab, intensive outpatient (IOP/PHP), and sober living programs in California. Personalized recovery paths. Medi-Cal accepted.",addiction recovery programs california
/programs/residential,"Inpatient Residential Rehab California | Sunbright Recovery","30, 60, and 90-day residential rehab in Northern California. Faith-integrated, evidence-based. Most admissions within 3-5 days. Medi-Cal accepted.",inpatient rehab california
/programs/outpatient,"IOP & PHP California | Intensive Outpatient at Sunbright","Intensive outpatient (IOP) and partial hospitalization (PHP) programs in California. Step-down from residential or standalone. Medi-Cal accepted.",intensive outpatient program california
/programs/sober-living,"Sober Living & Aftercare California | Sunbright Recovery","Transitional sober living homes and aftercare support in Northern California. Structured environment, ongoing therapy, real recovery community.",sober living california
/what-we-treat,"Conditions We Treat | Sunbright Recovery Center California","Alcohol, opioids, dual diagnosis, trauma & addiction. Evidence-based treatment for every form of substance use disorder. Northern California rehab.",addiction treatment california
/what-we-treat/alcohol,"Alcohol Rehab California | Alcohol Addiction Treatment","Alcohol addiction treatment in California. Residential, IOP, and sober living. Faith-integrated, evidence-based. Medi-Cal accepted. Call today.",alcohol rehab california
/what-we-treat/opioids,"Opioid Addiction Treatment California | Sunbright Recovery","Opioid and opiate addiction treatment in Northern California. Trauma-informed care, family support, medication referral. Medi-Cal accepted.",opioid addiction treatment california
/what-we-treat/dual-diagnosis,"Dual Diagnosis Treatment California | Co-Occurring Disorders","Treatment for addiction with co-occurring mental health conditions. Backed by PHW Care's mental health expertise. Northern California rehab.",dual diagnosis treatment california
/what-we-treat/trauma-addiction,"Trauma-Informed Addiction Treatment California | Sunbright","Recover from addiction rooted in trauma or PTSD. Trauma-informed care, EMDR-trained therapists, safe healing environment in Northern California.",trauma-informed addiction treatment
/our-approach,"Faith-Integrated, Evidence-Based Recovery | Our Approach","CBT, MI, trauma-informed care, family systems, plus optional faith integration. The Sunbright Recovery approach to lasting addiction recovery.",faith-based rehab california
/admissions,"Admissions Process | Start Recovery at Sunbright California","4-step admissions: call, assessment, insurance verification, admission. Most clients admitted within 3-5 days. Your call is private. 530-528-2342.",rehab admissions process
/insurance,"Rehab That Accepts Medi-Cal California | Insurance & Payment","Sunbright Recovery accepts Medi-Cal, Medicare, and most private insurance. Sliding scale available. Verify your benefits today. Affordable California rehab.",rehab that accepts medi-cal
/team,"Meet Our Recovery Team | Sunbright Recovery Center","Linda Spyres LCSW LAADC-CA, Faith Odell SUDRC, and the Sunbright team. 20+ years of compassionate, evidence-based addiction expertise.",addiction counselor red bluff
/family-resources,"For Families: How to Help a Loved One With Addiction","Guidance for spouses, parents, and adult children. How to start the recovery conversation, intervene with love, and support healing.",how to help a loved one with addiction
/faqs,"Frequently Asked Questions | Sunbright Recovery Center","Common questions about rehab cost, length, insurance, privacy, what to bring, and what to expect at Sunbright Recovery Center California.",rehab faq
/contact,"Contact Sunbright Recovery Center | Red Bluff, California","Call 530-528-2342 or send a private message. Sunbright Recovery Center, 22425 Sunbright Ave, Red Bluff, CA 96080. Your conversation is confidential.",sunbright recovery contact
/tour,"Schedule a Facility Tour | Sunbright Recovery California","See Sunbright Recovery Center in person. Schedule a private tour of our Northern California rehab facility. Confidential, no pressure.",rehab facility tour
/donate,"Support the Sunbright Recovery Mission","Donations support clients who need recovery but can't afford it. Give the gift of recovery through Parish Health and Wellness.",
